,Gender,state,sector,Age,Edu_level,work_agri_forestry_fishing,Voters_card,BVN,Tax_invoice,Tax_cert,invest_freq,Borrowed_in_past,Debt,Drought_damage,Pest_infestation,Avg_income,Own_agri_land,Own_agri_mech_tool,banked,saving_strand,credit_strand,insurance_strand,investments_physical_assets,investments_capital_markets,finhealth_resilience,finhealth_access,finlit_knowledge,finhealth_indicator_final,source_of_borrowing
0,2,ABIA,1,25,4,0,1,2,2,2,2,2,2,2,2,2,2,3,1,1,4,1,1,2,2,0,2,1,1
1,1,ABIA,1,25,5,0,1,1,2,2,2,2,1,2,2,4,3,3,0,4,3,1,2,2,0,2,2,1,2
2,2,ABIA,1,23,5,0,1,2,2,2,1,2,3,2,2,3,2,3,0,4,4,1,1,2,1,0,2,1,1
3,1,ABIA,1,23,5,0,1,1,2,2,3,2,2,2,2,2,3,3,0,4,4,1,1,2,0,0,2,0,1
4,1,ADAMAWA,2,25,5,1,1,1,2,2,2,1,1,2,2,2,2,3,1,3,4,1,1,2,0,0,0,1,1
5,1,ADAMAWA,2,22,5,1,1,2,2,2,3,1,1,1,1,2,3,3,1,3,4,1,2,2,0,0,2,1,1
6,1,ADAMAWA,2,20,4,1,1,2,2,2,1,2,2,2,2,1,3,3,1,3,4,1,1,2,1,0,1,1,1
7,1,ADAMAWA,1,22,5,1,1,2,2,2,2,1,2,2,1,3,3,3,1,3,4,1,1,2,0,0,2,0,1
8,1,ADAMAWA,2,25,10,1,2,1,2,2,2,1,2,2,2,20,2,3,1,3,4,1,1,2,0,0,0,1,1
9,1,ADAMAWA,2,25,2,1,1,2,2,2,3,1,2,2,1,2,1,3,1,3,4,1,1,2,0,0,0,0,1
10,1,ADAMAWA,2,22,5,1,2,2,2,2,2,1,2,2,2,1,3,3,1,3,4,1,2,2,0,0,0,1,1
11,1,ADAMAWA,2,21,10,1,2,2,2,2,2,1,1,2,2,1,1,3,1,3,4,1,1,2,0,1,0,1,1
12,2,ADAMAWA,2,23,4,1,1,2,2,2,3,1,2,2,2,1,3,3,1,3,4,1,2,2,0,0,0,1,1
13,1,ADAMAWA,2,21,10,1,2,2,2,2,3,1,3,2,1,1,1,3,1,0,4,1,1,2,0,0,2,1,1
14,2,ADAMAWA,2,21,4,1,2,1,2,2,2,1,1,2,1,20,2,3,1,3,4,1,2,2,0,1,0,1,1
15,2,ADAMAWA,1,25,5,1,1,1,2,2,3,1,2,2,2,2,3,3,1,3,4,1,2,2,0,0,0,0,1
16,2,ADAMAWA,2,21,4,1,2,1,2,2,2,1,2,2,1,2,3,3,1,3,4,1,1,2,0,0,0,1,1
17,1,ADAMAWA,1,18,10,1,1,1,2,2,2,1,3,1,1,20,1,3,1,3,4,1,1,2,0,0,0,0,1
18,2,ADAMAWA,2,23,5,0,1,1,2,2,2,1,2,2,2,2,3,3,1,3,4,1,2,2,0,0,1,1,1
19,1,ADAMAWA,2,25,5,1,1,1,2,2,2,1,3,1,1,20,2,3,1,3,3,1,1,2,0,0,2,1,2
20,1,ADAMAWA,2,25,10,1,1,2,2,2,2,1,1,2,2,2,2,3,1,3,4,1,1,2,0,0,1,1,1
21,2,ADAMAWA,1,20,3,0,2,2,2,2,3,1,4,2,2,20,3,3,1,3,3,1,2,2,1,0,0,0,2
22,1,ADAMAWA,2,25,5,1,1,2,2,2,2,1,2,2,2,2,1,3,1,1,4,1,1,2,0,1,0,1,1
23,1,ADAMAWA,2,25,10,1,2,2,2,2,2,1,3,2,1,19,1,3,1,3,4,1,1,2,0,0,0,1,1
